Aethon nhw ma's neithiwr?	Do	Naddo		
Ai Ebrill yw'r mis mwya creulon?	Ie	Nage		
Bryn Jones dych chi?	Ie	Nage		
Ddylen i gael bath?	Dylet	Na dylet		
Dych chi'n hoffi paned?	Ydyn	Nac ydyn	Ydw	Nac ydw
Dych chi'n hoffi pasta?	Ydw	Nac ydw	Ydyn	Nac ydyn
Dych chi'n rhannu car?	Ydyn	Nac ydyn	Ydw	Nac ydw
Fwyton ni bysgod a sglodion neithiwr?	Do	Naddo		
Fydd hi'n niwlog yfory?	Bydd	Na fydd		
Fydd hi'n oer yfory?	Bydd	Na fydd		
Ga i fenthyg dy gar di?	Cei	Na chei		
Ga i fynd i dre?	Cei	Na chei		
Ga i ofyn cwestiwn?	Cei	Na chei		
Gaeth e amser da?	Do	Naddo		
Geith Ffred fynd i nofio?	Ceith	Na Cheith		
Hoffet ti fynd i'r parti?	Hoffwn	Na hoffwn		
Oedd Hannah yn brusur ddoe?	Oedd	Nac Oedd		
Oedd hi'n braf ddoe?	Oedd	Nac oedd		
Oedd hi'n niwlog ddoe?	Oedd	Nac oedd		
Oes plant gyda chi?	Oes	Nac oes		
Wyt ti wedi torri dy wallt?	Ydw	Nac ydw		
Wyt ti'n gweithio?	Ydw	Nac ydw		
Wyt ti'n siopa yn Asda?	Ydw	Nac ydw		
Ydw i'n brysur?	Wyt	Nac wyt	Ydych	Nac ydych
Ydy Amanda yn hoffi dawnsio?	Ydy	Nac ydy		
Ydy e'n gweithio?	Ydy	Nac ydy		
Ydy hi'n braf nawr?	Ydy	Nac ydy		
Ydy Roger wedi torri ei wallt?	Ydy	Nac ydy		
